,matrix_type,dimension,memory_matrix_A,time_elapsed
230,band,20000,0.6104660034179688,0.0017444000000068627
231,band_sym,20000,0.30529022216796875,0.0017361999998684041
232,tridiagonal,20000,0.2291717529296875,0.00037290000000211876
233,tridiagonal_sym,20000,0.15278244018554688,0.0002945999999610649
234,dense,20500,3206.2531661987305,37.27526880000005
235,dense_sym,20500,1603.1265830993652,23.11801229999992
236,band,20500,0.6257247924804688,0.0017192000000250118
237,band_sym,20500,0.31291961669921875,0.002023600000029546
238,tridiagonal,20500,0.234893798828125,0.0004642999997486186
239,tridiagonal_sym,20500,0.15659713745117188,0.0003040999999939231
240,dense,21000,3364.563102722168,38.74998319999986
241,dense_sym,21000,1682.281551361084,23.98781609999969
242,band,21000,0.6409835815429688,0.001951799999915238
243,band_sym,21000,0.32054901123046875,0.0020116000000598433
244,tridiagonal,21000,0.2406158447265625,0.00039060000017343555
245,tridiagonal_sym,21000,0.16041183471679688,0.00031570000010106014
246,dense,21500,3526.6877365112305,42.691758500000105
247,dense_sym,21500,1763.3438682556152,26.692093300000124
248,band,21500,0.6562423706054688,0.0018288000001120963
249,band_sym,21500,0.32817840576171875,0.0020478999999795633
250,tridiagonal,21500,0.246337890625,0.0003928999999516236
251,tridiagonal_sym,21500,0.16422653198242188,0.0003111999999418913
252,dense,22000,3692.627067565918,43.32146889999967
253,dense_sym,22000,1846.313533782959,26.79816619999974
254,band,22000,0.6715011596679688,0.0019417000003159046
255,band_sym,22000,0.33580780029296875,0.0021362000002227433
256,tridiagonal,22000,0.2520599365234375,0.00039859999969849014
257,tridiagonal_sym,22000,0.16804122924804688,0.000315000000227883
258,dense,22500,3862.3810958862305,46.52548680000018
259,dense_sym,22500,1931.1905479431152,28.73612839999987
260,band,22500,0.6867599487304688,0.0019425000000410364
261,band_sym,22500,0.34343719482421875,0.0022029999995538674
262,tridiagonal,22500,0.257781982421875,0.0004210000001876324
263,tridiagonal_sym,22500,0.17185592651367188,0.0003348000000187312
264,dense,23000,4035.949821472168,48.63183620000018
265,dense_sym,23000,2017.974910736084,30.06630819999964
266,band,23000,0.7020187377929688,0.0019981000004918315
267,band_sym,23000,0.35106658935546875,0.0022100000005593756
268,tridiagonal,23000,0.2635040283203125,0.00042630000007193303
269,tridiagonal_sym,23000,0.17567062377929688,0.0003438000003370689
270,dense,23500,4213.3332443237305,52.103048500000114
271,dense_sym,23500,2106.6666221618652,32.008585000000494
272,band,23500,0.7172775268554688,0.0019889000004695845
273,band_sym,23500,0.35869598388671875,0.0021563999998761574
274,tridiagonal,23500,0.26922607421875,0.00043449999975564424
275,tridiagonal_sym,23500,0.17948532104492188,0.0003417999996599974
276,dense,24000,4394.531364440918,57.06458310000016
277,dense_sym,24000,2197.265682220459,36.130134399999406
278,band,24000,0.7325363159179688,0.002782100000331411
279,band_sym,24000,0.36632537841796875,0.0026688000007197843
280,tridiagonal,24000,0.2749481201171875,0.0005357000000003609
281,tridiagonal_sym,24000,0.18330001831054688,0.00040970000009110663
282,dense,24500,4579.5441818237305,60.237202700000125
283,dense_sym,24500,2289.7720909118652,36.87025240000003
284,band,24500,0.7477951049804688,0.002139000000170199
285,band_sym,24500,0.37395477294921875,0.00264690000039991
286,tridiagonal,24500,0.280670166015625,0.0006399000003511901
287,tridiagonal_sym,24500,0.18711471557617188,0.0004042000000481494
288,dense,25000,4768.371696472168,61.38949469999989
289,dense_sym,25000,2384.185848236084,37.59131570000045
290,band,25000,0.7630538940429688,0.002250600000479608
291,band_sym,25000,0.38158416748046875,0.0024401000000580098
292,tridiagonal,25000,0.2863922119140625,0.0005312000002959394
293,tridiagonal_sym,25000,0.19092941284179688,0.0003606000000218046
294,dense,25500,4961.0139083862305,65.75094009999975
295,dense_sym,25500,2480.5069541931152,40.172312199999396
296,band,25500,0.7783126831054688,0.002038399999946705
297,band_sym,25500,0.38921356201171875,0.0024391999995714286
298,tridiagonal,25500,0.2921142578125,0.0005394999998316052
299,tridiagonal_sym,25500,0.19474411010742188,0.00036530000033963006
300,dense,26000,5157.470817565918,68.4169082999997
301,dense_sym,26000,2578.735408782959,41.768096400000104
302,band,26000,0.7935714721679688,0.0028642999996009166
303,band_sym,26000,0.39684295654296875,0.0028831999998146784
304,tridiagonal,26000,0.2978363037109375,0.0007521999996242812
305,tridiagonal_sym,26000,0.19855880737304688,0.0005977999999231542
306,dense,26500,5357.7424240112305,72.9060916999997
307,dense_sym,26500,2678.8712120056152,45.01049320000038
308,band,26500,0.8088302612304688,0.002196399999775167
309,band_sym,26500,0.40447235107421875,0.0032843999997567153
310,tridiagonal,26500,0.303558349609375,0.0005498000000443426
311,tridiagonal_sym,26500,0.20237350463867188,0.0004011000000900822
312,dense,27000,5561.828727722168,75.9809967000001
313,dense_sym,27000,2780.914363861084,45.91822549999961
314,band,27000,0.8240890502929688,0.002147999999579042
315,band_sym,27000,0.41210174560546875,0.0025584000004528207
316,tridiagonal,27000,0.3092803955078125,0.0005353000005925423
317,tridiagonal_sym,27000,0.20618820190429688,0.0003901999998561223
318,dense,27500,5769.7297286987305,81.88551300000017
319,dense_sym,27500,2884.8648643493652,49.43280929999946
320,band,27500,0.8393478393554688,0.0021789000002172543
321,band_sym,27500,0.41973114013671875,0.00260210000033112
322,tridiagonal,27500,0.31500244140625,0.0005310000005920301
323,tridiagonal_sym,27500,0.21000289916992188,0.00040689999968890334
324,dense,28000,5981.445426940918,84.9571820000001
325,dense_sym,28000,2990.722713470459,52.24249830000008
326,band,28000,0.8546066284179688,0.002329699999791046
327,band_sym,28000,0.42736053466796875,0.002686099999664293
328,tridiagonal,28000,0.3207244873046875,0.0005550999994738959
329,tridiagonal_sym,28000,0.21381759643554688,0.0004102000002603745
330,dense,28500,6196.9758224487305,91.63212170000043
331,dense_sym,28500,3098.4879112243652,54.86090609999974
332,band,28500,0.8698654174804688,0.00233849999949598
333,band_sym,28500,0.43498992919921875,0.0027807999995275168
334,tridiagonal,28500,0.326446533203125,0.0005758999996032799
335,tridiagonal_sym,28500,0.21763229370117188,0.00042579999990266515
336,dense,29000,6416.320915222168,93.0441267999995
337,dense_sym,29000,3208.160457611084,55.89674670000022
338,band,29000,0.8851242065429688,0.002317199999197328
339,band_sym,29000,0.44261932373046875,0.0027619000002232497
340,tridiagonal,29000,0.3321685791015625,0.0006483999995907652
341,tridiagonal_sym,29000,0.22144699096679688,0.0004318999999668449
342,dense,29500,6639.4807052612305,99.92905809999957
343,dense_sym,29500,3319.7403526306152,59.80427690000033
344,band,29500,0.9003829956054688,0.0032398000003013294
345,band_sym,29500,0.45024871826171875,0.003269299999374198
346,tridiagonal,29500,0.337890625,0.0008133999999699881
347,tridiagonal_sym,29500,0.22526168823242188,0.0005202999991524848
348,dense,30000,6866.455192565918,104.11891520000063
349,dense_sym,30000,3433.227596282959,62.550911899999846
350,band,30000,0.9156417846679688,0.0025913999998010695
351,band_sym,30000,0.45787811279296875,0.002921799999967334
352,tridiagonal,30000,0.3436126708984375,0.00072829999953683
353,tridiagonal_sym,30000,0.22907638549804688,0.0004617000004145666
354,dense,30500,7097.2443771362305,109.25655300000017
355,dense_sym,30500,3548.6221885681152,65.16846689999966
356,band,30500,0.9309005737304688,0.002735400000346999
357,band_sym,30500,0.46550750732421875,0.0029895999996369937
358,tridiagonal,30500,0.349334716796875,0.0006272000000535627
359,tridiagonal_sym,30500,0.23289108276367188,0.0004650999999284977
360,dense,31000,7331.848258972168,112.88030100000014
361,dense_sym,31000,3665.924129486084,67.42773060000036
362,band,31000,0.9461593627929688,0.0026412999995955033
363,band_sym,31000,0.47313690185546875,0.002960799999527808
364,tridiagonal,31000,0.3550567626953125,0.0006079000004319823
365,tridiagonal_sym,31000,0.23670578002929688,0.00044469999920693226
366,dense,31500,7570.2668380737305,119.1551386000001
367,dense_sym,31500,3785.1334190368652,70.90678939999998
368,band,31500,0.9614181518554688,0.0027804000001196982
369,band_sym,31500,0.48076629638671875,0.0030116999996607774
370,tridiagonal,31500,0.36077880859375,0.00069199999961711
371,tridiagonal_sym,31500,0.24052047729492188,0.00045310000041354215
372,dense,32000,7812.500114440918,138.8239752999998
373,dense_sym,32000,3906.250057220459,83.67631090000032
374,band,32000,0.9766769409179688,0.0026998000003004563
375,band_sym,32000,0.48839569091796875,0.0030605000001742155
376,tridiagonal,32000,0.3665008544921875,0.0005819999996674596
377,tridiagonal_sym,32000,0.24433517456054688,0.0004687999999077874
378,dense,32500,8058.5480880737305,130.4522195999998
379,dense_sym,32500,4029.2740440368652,78.10791119999976
380,band,32500,0.9919357299804688,0.002856899999642337
381,band_sym,32500,0.49602508544921875,0.0031764999994265963
382,tridiagonal,32500,0.372222900390625,0.0006122000004324946
383,tridiagonal_sym,32500,0.24814987182617188,0.0004838999993808102
384,dense,33000,8308.410758972168,135.01121610000064
385,dense_sym,33000,4154.205379486084,80.06750489999922
386,band,33000,1.0071945190429688,0.002852300000085961
387,band_sym,33000,0.5036544799804688,0.0029808999997840147
388,tridiagonal,33000,0.3779449462890625,0.0006264000003284309
389,tridiagonal_sym,33000,0.2519645690917969,0.0005062000000179978
390,dense,33500,8562.08812713623,143.4675073999997
391,dense_sym,33500,4281.044063568115,84.89929399999983
392,band,33500,1.0224533081054688,0.0027757999996538274
393,band_sym,33500,0.5112838745117188,0.00399089999973512
394,tridiagonal,33500,0.3836669921875,0.0010010000005422626
395,tridiagonal_sym,33500,0.2557792663574219,0.0005141000001458451
396,dense,34000,8819.580192565918,146.79517290000058
397,dense_sym,34000,4409.790096282959,87.58576730000004
398,band,34000,1.0377120971679688,0.002757299999757379
399,band_sym,34000,0.5189132690429688,0.003361300000506162
400,tridiagonal,34000,0.3893890380859375,0.000908299999537121
401,tridiagonal_sym,34000,0.2595939636230469,0.0013507000003301073
402,dense,34500,9080.88695526123,153.59556760000032
403,dense_sym,34500,4540.443477630615,90.96137460000045
404,band,34500,1.0529708862304688,0.0028180999997857725
405,band_sym,34500,0.5265426635742188,0.003273100000114937
406,tridiagonal,34500,0.395111083984375,0.0006317999996099388
407,tridiagonal_sym,34500,0.2634086608886719,0.0007907999997769366
408,dense,35000,9346.008415222168,159.19599629999993
409,dense_sym,35000,4673.004207611084,93.45414710000023
410,band,35000,1.0682296752929688,0.0029844999999113497
411,band_sym,35000,0.5341720581054688,0.0032734000005802955
412,tridiagonal,35000,0.4008331298828125,0.0006575999996130122
413,tridiagonal_sym,35000,0.2672233581542969,0.0008378000002267072
